	city	latitude	longitude
63	Chongqing	29.5647398	106.5478767
64	China	35.000074	104.999927
65	Russia	64.6863136	97.7453061
66	Us	39.7837304	-100.445882
67	Us	39.7837304	-100.445882
68	Us	39.7837304	-100.445882
69	Us	39.7837304	-100.445882
70	Us	39.7837304	-100.445882
71	Us	39.7837304	-100.445882
72	Us	39.7837304	-100.445882
73	Us	39.7837304	-100.445882
74	Us	39.7837304	-100.445882
75	Us	39.7837304	-100.445882
76	Us	39.7837304	-100.445882
77	Us	39.7837304	-100.445882
78	Us	39.7837304	-100.445882
79	Us	39.7837304	-100.445882
80	Us	39.7837304	-100.445882
81	Us	39.7837304	-100.445882
82	Us	39.7837304	-100.445882
83	Us	39.7837304	-100.445882
84	Us	39.7837304	-100.445882
85	Us	39.7837304	-100.445882
86	Us	39.7837304	-100.445882
87	Us	39.7837304	-100.445882
88	Us	39.7837304	-100.445882
89	California	36.7014631	-118.755997
90	Oregon	43.9792797	-120.737257
91	Oregon	43.9792797	-120.737257
92	Chongqing	29.5647398	106.5478767
93	China	35.000074	104.999927
94	Chongqing	29.5647398	106.5478767
95	Real	29.7949383	-99.8280905
96	China	35.000074	104.999927
97	North	40.3736611	127.0870417
98	Oak Run	29.7245354	-98.1666087
99	Chongqing	29.5647398	106.5478767
100	China	35.000074	104.999927
101	Media	40.7750395	-90.8320824
102	Chongqing	29.5647398	106.5478767
103	California	36.7014631	-118.755997
104	Colorado	38.7251776	-105.607716
105	Mount Helena	46.5879823	-112.0654858
106	California	36.7014631	-118.755997
107	Oregon	43.9792797	-120.737257
108	Oregon	43.9792797	-120.737257
109	Usa	39.7837304	-100.445882
110	China	35.000074	104.999927
111	Us	39.7837304	-100.445882
112	Aspen	39.1911128	-106.8235606
113	Marines	49.1451519	1.9831777
114	West	0.5090396	34.5731341
115	Brantford	43.1408157	-80.2631733
116	West	0.5090396	34.5731341
117	Brantford	43.1408157	-80.2631733
118	West	0.5090396	34.5731341
119	Brantford	43.1408157	-80.2631733
120	West	0.5090396	34.5731341
121	Brantford	43.1408157	-80.2631733
122	Marines	49.1451519	1.9831777
123	Oregon	43.9792797	-120.737257
124	Oregon	43.9792797	-120.737257
125	Planes	38.7851609	-0.3435236
126	Oregon	43.9792797	-120.737257
127	Oregon	43.9792797	-120.737257
128	Sheffield	53.3806626	-1.4702278
129	China	35.000074	104.999927
130	Chongqing	29.5647398	106.5478767
131	China	35.000074	104.999927
132	Oregon	43.9792797	-120.737257
133	China	35.000074	104.999927
134	Chongqing	29.5647398	106.5478767
135	Brazil	-10.3333333	-53.2
136	Oregon	43.9792797	-120.737257
137	Rum	46.45295965	10.986710884249394
138	Brazil	-10.3333333	-53.2
139	Usa	39.7837304	-100.445882
140	Usa	39.7837304	-100.445882
141	Us	39.7837304	-100.445882
142	Line	59.0349322	5.6779591143868
143	Chongqing	29.5647398	106.5478767
144	China	35.000074	104.999927
145	Chongqing	29.5647398	106.5478767
146	China	35.000074	104.999927
147	Local	38.373665	-90.6229046
148	California	36.7014631	-118.755997
149	Chongqing	29.5647398	106.5478767
150	Mountain	48.6843951	-97.8652374
151	China	35.000074	104.999927
152	Us	39.7837304	-100.445882
153	Us	39.7837304	-100.445882
154	Us	39.7837304	-100.445882
155	Us	39.7837304	-100.445882
156	Us	39.7837304	-100.445882
157	Hard	47.489391	9.6916539
158	Oregon	43.9792797	-120.737257
159	Usa	39.7837304	-100.445882
160	Ashby	46.093016	-95.81755
161	Us	39.7837304	-100.445882
162	Us	39.7837304	-100.445882
163	Us	39.7837304	-100.445882
164	Us	39.7837304	-100.445882
165	Us	39.7837304	-100.445882
166	Us	39.7837304	-100.445882
167	Us	39.7837304	-100.445882
168	Us	39.7837304	-100.445882
169	Us	39.7837304	-100.445882
170	Us	39.7837304	-100.445882
171	Us	39.7837304	-100.445882
172	Us	39.7837304	-100.445882
173	Us	39.7837304	-100.445882
174	Us	39.7837304	-100.445882
175	Us	39.7837304	-100.445882
176	Us	39.7837304	-100.445882
177	Us	39.7837304	-100.445882
178	Us	39.7837304	-100.445882
179	Us	39.7837304	-100.445882
180	Us	39.7837304	-100.445882
181	Us	39.7837304	-100.445882
182	Us	39.7837304	-100.445882
183	Us	39.7837304	-100.445882
184	Us	39.7837304	-100.445882
185	Us	39.7837304	-100.445882
186	Bush	37.8433836	-89.13119
187	Oregon	43.9792797	-120.737257
188	Oregon	43.9792797	-120.737257
189	DeSoto	27.190253	-81.8244232
190	Reagan	31.3458428	-101.5295291
191	Chongqing	29.5647398	106.5478767
192	Angeles	15.1399659	120.5879182
193	Salem	44.9391565	-123.033121
194	Oregon	43.9792797	-120.737257
195	Grass Valley	39.2190607	-121.06292
196	Angeles	15.1399659	120.5879182
197	Angeles	15.1399659	120.5879182
198	Song	2.0069038	112.5493271
199	Nevada	39.5158825	-116.8537227
200	Galveston	29.299328	-94.7945882
201	California	36.7014631	-118.755997
202	Cope	33.3779336	-81.0070403
203	California	36.7014631	-118.755997
204	Mariposa	37.570148	-119.9036592
205	Happy	37.2039848	-83.0965567
206	Chongqing	29.5647398	106.5478767
207	More	57.08243995	25.081117065324065
208	Chongqing	29.5647398	106.5478767
209	China	35.000074	104.999927
210	Drums	41.018139	-75.9949252
211	Chongqing	29.5647398	106.5478767
212	Usa	39.7837304	-100.445882
213	Us	39.7837304	-100.445882
214	Nevada	39.5158825	-116.8537227
215	Rathfarnham	53.2988099	-6.2855388
216	Chongqing	29.5647398	106.5478767
217	Brazil	-10.3333333	-53.2
218	Chongqing	29.5647398	106.5478767
219	China	35.000074	104.999927
220	Spokane	47.6571934	-117.42351
221	Palisades	41.0111793	-73.91346
222	Carbon	40.8908468	-75.7212917
223	Chongqing	29.5647398	106.5478767
224	Chongqing	29.5647398	106.5478767
225	Chongqing	29.5647398	106.5478767
226	Spain	39.3260685	-4.8379791
227	Globe	41.9903762	-71.523673
228	Forest	41.5329762	-79.2640912
229	Spokane	47.6571934	-117.42351
230	North	40.3736611	127.0870417
231	Spokane	47.6571934	-117.42351
232	Spain	39.3260685	-4.8379791
233	Many	49.0026397	6.5218763
234	China	35.000074	104.999927
235	Chongqing	29.5647398	106.5478767
236	Spokane	47.6571934	-117.42351
237	Front	45.280852	7.663618
238	Alta	55.001251	-115.002136
239	Nevada	39.5158825	-116.8537227
240	Nevada	39.5158825	-116.8537227
241	Nevada	39.5158825	-116.8537227
242	Spokane	47.6571934	-117.42351
243	Spokane	47.6571934	-117.42351
244	Palisades Park	40.8481556	-73.997639
245	Spokane	47.6571934	-117.42351
246	Land	60.2340258	9.8743057
247	Most	50.5032737	13.636112
248	Spokane	47.6571934	-117.42351
249	Forest	41.5329762	-79.2640912
250	Los Angeles	34.0536909	-118.242766
251	California	36.7014631	-118.755997
252	Mexico	23.6585116	-102.0077097
253	House	34.656400500000004	-103.90050220904119
254	Early	31.3454341	-84.9282058
255	Canada	61.0666922	-107.991707
256	Valley	41.5595723	-98.9805484
257	Hard	47.489391	9.6916539
258	Grand	48.386104	5.4866253
259	Colorado	38.7251776	-105.607716
260	Colorado	38.7251776	-105.607716
261	Singer	3.1793624	101.6922808
262	Rain	48.6901192	10.9153669
263	Us	39.7837304	-100.445882
264	Advance	37.1044958	-89.9106494
265	California	36.7014631	-118.755997
266	Whitman	46.9428831	-117.5286172
267	Field	46.5206969	-80.0273257
268	Us	39.7837304	-100.445882
269	Oregon	43.9792797	-120.737257
270	Low	45.811333	-75.952263
271	Land	60.2340258	9.8743057
272	California	36.7014631	-118.755997
273	Us	39.7837304	-100.445882
274	Us	39.7837304	-100.445882
275	California	36.7014631	-118.755997
276	California	36.7014631	-118.755997
277	Chongqing	29.5647398	106.5478767
278	Chongqing	29.5647398	106.5478767
279	Foss	35.4544942	-99.1698099
280	Us	39.7837304	-100.445882
281	Chongqing	29.5647398	106.5478767
282	Long	50.039326	1.9793659
283	Chongqing	29.5647398	106.5478767
284	North	40.3736611	127.0870417
285	Spanish	46.193239	-82.347307
286	Spain	39.3260685	-4.8379791
287	California	36.7014631	-118.755997
288	Many	49.0026397	6.5218763
289	Spain	39.3260685	-4.8379791
290	Brave	39.7248009	-80.2600728
291	California	36.7014631	-118.755997
292	Ifs	49.1380679	-0.3496385
293	Chongqing	29.5647398	106.5478767
294	China	35.000074	104.999927
295	China	35.000074	104.999927
296	Gulgong	-32.3628305	149.5338212
297	Brush	40.2584914	-103.623473
298	Angeles	15.1399659	120.5879182
299	Us	39.7837304	-100.445882
300	Usa	39.7837304	-100.445882
301	Glendora	34.1361187	-117.865339
302	California	36.7014631	-118.755997
303	Angeles	15.1399659	120.5879182
304	Us	39.7837304	-100.445882
305	California	36.7014631	-118.755997
306	Us	39.7837304	-100.445882
307	Us	39.7837304	-100.445882
308	Northampton	52.23433665	-0.9028072768185829
309	California	36.7014631	-118.755997
310	California	36.7014631	-118.755997
311	Poway	32.9628234	-117.0358646
312	Early	31.3454341	-84.9282058
313	Happy	37.2039848	-83.0965567
314	China	35.000074	104.999927
315	Salute	1.0753359	34.1499453
316	Saugus	42.4648183	-71.010051
317	Saugus	42.4648183	-71.010051
318	California	36.7014631	-118.755997
319	Chongqing	29.5647398	106.5478767
320	Nevada	39.5158825	-116.8537227
321	Usa	39.7837304	-100.445882
322	Spain	39.3260685	-4.8379791
323	Spain	39.3260685	-4.8379791
324	Us	39.7837304	-100.445882
325	Usa	39.7837304	-100.445882
326	Us	39.7837304	-100.445882
327	Surrey	51.2715316	-0.3414523511290909
328	North	40.3736611	127.0870417
329	California	36.7014631	-118.755997
330	Spain	39.3260685	-4.8379791
331	Rain	48.6901192	10.9153669
332	Chongqing	29.5647398	106.5478767
333	China	35.000074	104.999927
334	California	36.7014631	-118.755997
335	Forest	41.5329762	-79.2640912
336	Brazil	-10.3333333	-53.2
337	China	35.000074	104.999927
338	California	36.7014631	-118.755997
339	Forest	41.5329762	-79.2640912
340	Mont	47.3752671	-109.638757
341	Russia	64.6863136	97.7453061
342	California	36.7014631	-118.755997
343	Stephen	48.4506658	-96.872862
344	Spanish	46.193239	-82.347307
345	Ozone	35.18961	136.9371584
346	Home	40.7395087	-79.1053129
347	Oregon	43.9792797	-120.737257
348	California	36.7014631	-118.755997
349	Four	45.5874539	5.193922
350	North	40.3736611	127.0870417
351	Warden	43.7111204	-79.2790432
352	Canadian	35.5438102	-98.0031532
353	Canadian	35.5438102	-98.0031532
354	Caroline	38.0320305	-77.362363
355	Wyoming	43.1700264	-107.568534
356	Colorado	38.7251776	-105.607716
357	Us	39.7837304	-100.445882
358	Merlin	45.7539095	7.6196791
359	McKinney	33.1976496	-96.6154471
360	California	36.7014631	-118.755997
361	Colorado	38.7251776	-105.607716
362	Four	45.5874539	5.193922
363	Penticton	49.5003268	-119.5932499
364	California	36.7014631	-118.755997
365	California	36.7014631	-118.755997
366	Oregon	43.9792797	-120.737257
367	California	36.7014631	-118.755997
368	Jeff	37.2050956	-83.136281
369	New York	40.7127281	-74.0060152
370	Rain	48.6901192	10.9153669
371	Colorado	38.7251776	-105.607716
372	California	36.7014631	-118.755997
373	Maine	45.709097	-68.8590201
374	California	36.7014631	-118.755997
375	China	35.000074	104.999927
376	California	36.7014631	-118.755997
377	Klamath	42.6052565	-121.739544
378	Chongqing	29.5647398	106.5478767
379	Usa	39.7837304	-100.445882
380	Us	39.7837304	-100.445882
381	Chongqing	29.5647398	106.5478767
382	China	35.000074	104.999927
383	Mountain	48.6843951	-97.8652374
384	Darwin	-12.46044	130.8410469
385	Chongqing	29.5647398	106.5478767
386	Argentina	-34.9964963	-64.9672817
387	Usa	39.7837304	-100.445882
388	Us	39.7837304	-100.445882
389	Speed	39.676799	-99.42004413003096
390	Woods	36.7915843	-98.8313546
391	California	36.7014631	-118.755997
392	California	36.7014631	-118.755997
393	Whitehorse	60.721571	-135.054932
394	Russia	64.6863136	97.7453061
395	Oregon	43.9792797	-120.737257
396	Darwin	-12.46044	130.8410469
397	California	36.7014631	-118.755997
398	Fort McMurray	56.7291997	-111.3885221
399	Mining	48.2765455	13.1620614
400	Canada	61.0666922	-107.991707
401	Kingswood	51.4627405	-2.5083916
402	Washington	38.8950368	-77.0365427
403	California	36.7014631	-118.755997
404	Oregon	43.9792797	-120.737257
405	Forest	41.5329762	-79.2640912
406	Sacramento	38.5810606	-121.493895
407	California	36.7014631	-118.755997
408	Bordeaux	44.841225	-0.5800364
409	California	36.7014631	-118.755997
410	California	36.7014631	-118.755997
411	Maine	45.709097	-68.8590201
412	Colorado	38.7251776	-105.607716
413	Vincent	46.7862	5.48925
414	Greeley	40.4233142	-104.7091322
415	California	36.7014631	-118.755997
416	Canada	61.0666922	-107.991707
417	Cost	46.6927493	2.5963733
418	Spanish	46.193239	-82.347307
419	Colorado	38.7251776	-105.607716
420	Colorado	38.7251776	-105.607716
421	China	35.000074	104.999927
422	Us	39.7837304	-100.445882
423	Las Vegas	36.1672559	-115.148516
424	Mobile	30.6867339	-88.0848929
425	Boise	43.6166163	-116.200886
426	Eu	50.0491699	1.4175744
427	Spain	39.3260685	-4.8379791
428	Morocco	31.1728205	-7.3362482
429	North	40.3736611	127.0870417
430	Mariposa	37.570148	-119.9036592
431	Forest	41.5329762	-79.2640912
432	Russia	64.6863136	97.7453061
433	Russia	64.6863136	97.7453061
434	California	36.7014631	-118.755997
435	Pine Valley	32.841743949999994	-116.51504789059828
436	Spain	39.3260685	-4.8379791
437	China	35.000074	104.999927
438	Moscow	55.7504461	37.6174943
439	Russia	64.6863136	97.7453061
440	Belgium	50.6402809	4.6667145
441	Chongqing	29.5647398	106.5478767
442	China	35.000074	104.999927
443	Us	39.7837304	-100.445882
444	China	35.000074	104.999927
445	California	36.7014631	-118.755997
446	Montana	47.3752671	-109.638757
447	Prairie	34.8105247	-91.5751148
448	Russia	64.6863136	97.7453061
449	China	35.000074	104.999927
450	Usa	39.7837304	-100.445882
451	China	35.000074	104.999927
452	China	35.000074	104.999927
453	Darwin	-12.46044	130.8410469
454	Green	37.2433976	-85.5346302
455	China	35.000074	104.999927
456	Forest	41.5329762	-79.2640912
457	Eu	50.0491699	1.4175744
458	Las Vegas	36.1672559	-115.148516
459	Colorado	38.7251776	-105.607716
460	Rock	43.6733632	-96.2574328
461	Us	39.7837304	-100.445882
462	Usa	39.7837304	-100.445882
463	China	35.000074	104.999927
464	California	36.7014631	-118.755997
465	North	40.3736611	127.0870417
466	Us	39.7837304	-100.445882
467	Litchfield Park	33.4933796	-112.3581244
468	Usa	39.7837304	-100.445882
469	Pine	46.0820957	-92.7542126
470	Born	51.03383	5.80965
471	Park	39.1089299	-105.7561639
472	California	36.7014631	-118.755997
473	Canada	61.0666922	-107.991707
474	Dallas	32.7762719	-96.7968559
475	California	36.7014631	-118.755997
476	Pine	46.0820957	-92.7542126
477	Pine Valley	32.841743949999994	-116.51504789059828
478	Ruidoso	33.3315804	-105.6730991
479	California	36.7014631	-118.755997
480	California	36.7014631	-118.755997
481	California	36.7014631	-118.755997
482	Russia	64.6863136	97.7453061
483	Colorado	38.7251776	-105.607716
484	Green	37.2433976	-85.5346302
485	California	36.7014631	-118.755997
486	Us	39.7837304	-100.445882
487	Canada	61.0666922	-107.991707
488	Spanish	46.193239	-82.347307
489	Research	-37.7066557	145.189067
490	Carbon	40.8908468	-75.7212917
491	Rain	48.6901192	10.9153669
492	California	36.7014631	-118.755997
493	Oregon	43.9792797	-120.737257
494	Forest	41.5329762	-79.2640912
495	Forest	41.5329762	-79.2640912
496	Pacific	46.5334929	-123.768029
497	Central	22.2818286	114.1582784
498	Argentina	-34.9964963	-64.9672817
499	Russia	64.6863136	97.7453061
500	Washington	38.8950368	-77.0365427
501	Oregon	43.9792797	-120.737257
502	Russia	64.6863136	97.7453061
503	North	40.3736611	127.0870417
504	Spanish	46.193239	-82.347307
505	Brush	40.2584914	-103.623473
506	California	36.7014631	-118.755997
507	Mobile	30.6867339	-88.0848929
508	Spain	39.3260685	-4.8379791
509	Spain	39.3260685	-4.8379791
510	Spain	39.3260685	-4.8379791
511	Spain	39.3260685	-4.8379791
512	Eu	50.0491699	1.4175744
513	Usa	39.7837304	-100.445882
514	Us	39.7837304	-100.445882
515	Spain	39.3260685	-4.8379791
516	Eu	50.0491699	1.4175744
517	Home	40.7395087	-79.1053129
518	Darwin	-12.46044	130.8410469
519	Spanish	46.193239	-82.347307
520	Brush	40.2584914	-103.623473
521	Mountain	48.6843951	-97.8652374
522	Us	39.7837304	-100.445882
523	Pilot	35.8848761	-78.2649958
524	Chongqing	29.5647398	106.5478767
525	California	36.7014631	-118.755997
526	Song	2.0069038	112.5493271
527	California	36.7014631	-118.755997
528	California	36.7014631	-118.755997
529	Nevada	39.5158825	-116.8537227
530	Montana	47.3752671	-109.638757
531	Beaver	40.6916624	-80.3709999
532	Prairie	34.8105247	-91.5751148
533	Spain	39.3260685	-4.8379791
534	Santa Rosa	38.4404925	-122.7141049
535	Santa Rosa	38.4404925	-122.7141049
536	Italy	42.6384261	12.674297
537	Song	2.0069038	112.5493271
538	California	36.7014631	-118.755997
539	Mobile	30.6867339	-88.0848929
540	Cranberry Portage	54.5863636	-101.37847
541	Snow Lake	54.881347	-100.020905
542	Porto	41.1494512	-8.6107884
543	Faro	37.0162727	-7.9351771
544	Four	45.5874539	5.193922
545	California	36.7014631	-118.755997
546	Us	39.7837304	-100.445882
547	Taha	9.4362274	-0.78447
548	California	36.7014631	-118.755997
549	Russia	64.6863136	97.7453061
550	Montana	47.3752671	-109.638757
551	Moscow	55.7504461	37.6174943
552	Russia	64.6863136	97.7453061
553	Lucan	44.4096788	-95.4105611
554	Russia	64.6863136	97.7453061
555	Washington	38.8950368	-77.0365427
556	Peru	-6.8699697	-75.0458515
557	Usa	39.7837304	-100.445882
558	Us	39.7837304	-100.445882
559	Argentina	-34.9964963	-64.9672817
560	Line	59.0349322	5.6779591143868
561	Spain	39.3260685	-4.8379791
562	Oregon	43.9792797	-120.737257
563	Josephine	42.3554368	-123.5602707
564	California	36.7014631	-118.755997
565	Chongqing	29.5647398	106.5478767
566	China	35.000074	104.999927
567	Virginia	37.1232245	-78.4927721
568	Us	39.7837304	-100.445882
569	California	36.7014631	-118.755997
570	Lake	39.0505411	-122.7776556
571	Panorama	-21.3612672	-51.8572739
